onet_major_x,onet_major_y,source,target,value
37,19,Building and Grounds Cleaning and Maintenance,"Life, Physical, and Social Science",7
37,21,Building and Grounds Cleaning and Maintenance,Community and Social Service,7
37,23,Building and Grounds Cleaning and Maintenance,Legal,5
37,25,Building and Grounds Cleaning and Maintenance,Educational Instruction and Library,12
37,27,Building and Grounds Cleaning and Maintenance,"Arts, Design, Entertainment, Sports, and Media",9
37,29,Building and Grounds Cleaning and Maintenance,Healthcare Practitioners and Technical,6
37,35,Building and Grounds Cleaning and Maintenance,Food Preparation and Serving Related,5
37,37,Building and Grounds Cleaning and Maintenance,Building and Grounds Cleaning and Maintenance,90
37,39,Building and Grounds Cleaning and Maintenance,Personal Care and Service,3
37,41,Building and Grounds Cleaning and Maintenance,Sales and Related,14
37,43,Building and Grounds Cleaning and Maintenance,Office and Administrative Support,15
37,45,Building and Grounds Cleaning and Maintenance,"Farming, Fishing, and Forestry",2
37,47,Building and Grounds Cleaning and Maintenance,Construction and Extraction,4
37,49,Building and Grounds Cleaning and Maintenance,"Installation, Maintenance, and Repair",4
37,51,Building and Grounds Cleaning and Maintenance,Production,6
37,53,Building and Grounds Cleaning and Maintenance,Transportation and Material Moving,3
39,11,Personal Care and Service,Management,568
39,13,Personal Care and Service,Business and Financial Operations,225
39,15,Personal Care and Service,Computer and Mathematical,71
39,17,Personal Care and Service,Architecture and Engineering,15
39,19,Personal Care and Service,"Life, Physical, and Social Science",70
39,21,Personal Care and Service,Community and Social Service,179
39,23,Personal Care and Service,Legal,29
39,25,Personal Care and Service,Educational Instruction and Library,143
39,27,Personal Care and Service,"Arts, Design, Entertainment, Sports, and Media",145
39,29,Personal Care and Service,Healthcare Practitioners and Technical,129
39,31,Personal Care and Service,Healthcare Support,30
39,33,Personal Care and Service,Protective Service,19
39,35,Personal Care and Service,Food Preparation and Serving Related,25
39,37,Personal Care and Service,Building and Grounds Cleaning and Maintenance,6
39,39,Personal Care and Service,Personal Care and Service,519
39,41,Personal Care and Service,Sales and Related,175
39,43,Personal Care and Service,Office and Administrative Support,194
39,47,Personal Care and Service,Construction and Extraction,3
39,49,Personal Care and Service,"Installation, Maintenance, and Repair",4
39,51,Personal Care and Service,Production,12
39,53,Personal Care and Service,Transportation and Material Moving,20
41,11,Sales and Related,Management,6827
41,13,Sales and Related,Business and Financial Operations,2937
41,15,Sales and Related,Computer and Mathematical,705
41,17,Sales and Related,Architecture and Engineering,249
41,19,Sales and Related,"Life, Physical, and Social Science",131
41,21,Sales and Related,Community and Social Service,236
41,23,Sales and Related,Legal,145
41,25,Sales and Related,Educational Instruction and Library,321
41,27,Sales and Related,"Arts, Design, Entertainment, Sports, and Media",641
41,29,Sales and Related,Healthcare Practitioners and Technical,226
41,31,Sales and Related,Healthcare Support,58
41,33,Sales and Related,Protective Service,66
41,35,Sales and Related,Food Preparation and Serving Related,115
41,37,Sales and Related,Building and Grounds Cleaning and Maintenance,12
41,39,Sales and Related,Personal Care and Service,110
41,41,Sales and Related,Sales and Related,8538
41,43,Sales and Related,Office and Administrative Support,1350
41,45,Sales and Related,"Farming, Fishing, and Forestry",8
41,47,Sales and Related,Construction and Extraction,37
41,49,Sales and Related,"Installation, Maintenance, and Repair",51
41,51,Sales and Related,Production,82
41,53,Sales and Related,Transportation and Material Moving,111
43,11,Office and Administrative Support,Management,4279
43,13,Office and Administrative Support,Business and Financial Operations,4122
43,15,Office and Administrative Support,Computer and Mathematical,924
43,17,Office and Administrative Support,Architecture and Engineering,156
43,19,Office and Administrative Support,"Life, Physical, and Social Science",210
43,21,Office and Administrative Support,Community and Social Service,412
43,23,Office and Administrative Support,Legal,328
43,25,Office and Administrative Support,Educational Instruction and Library,472
43,27,Office and Administrative Support,"Arts, Design, Entertainment, Sports, and Media",644
43,29,Office and Administrative Support,Healthcare Practitioners and Technical,329
43,31,Office and Administrative Support,Healthcare Support,59
43,33,Office and Administrative Support,Protective Service,75
43,35,Office and Administrative Support,Food Preparation and Serving Related,61
43,37,Office and Administrative Support,Building and Grounds Cleaning and Maintenance,21
43,39,Office and Administrative Support,Personal Care and Service,105
43,41,Office and Administrative Support,Sales and Related,1336
43,43,Office and Administrative Support,Office and Administrative Support,5205
43,45,Office and Administrative Support,"Farming, Fishing, and Forestry",6
43,47,Office and Administrative Support,Construction and Extraction,23
43,49,Office and Administrative Support,"Installation, Maintenance, and Repair",45
43,51,Office and Administrative Support,Production,72
43,53,Office and Administrative Support,Transportation and Material Moving,93
45,11,"Farming, Fishing, and Forestry",Management,23
45,13,"Farming, Fishing, and Forestry",Business and Financial Operations,15
45,15,"Farming, Fishing, and Forestry",Computer and Mathematical,6
45,17,"Farming, Fishing, and Forestry",Architecture and Engineering,4
45,19,"Farming, Fishing, and Forestry","Life, Physical, and Social Science",8
45,21,"Farming, Fishing, and Forestry",Community and Social Service,1
45,23,"Farming, Fishing, and Forestry",Legal,2
45,25,"Farming, Fishing, and Forestry",Educational Instruction and Library,8
45,27,"Farming, Fishing, and Forestry","Arts, Design, Entertainment, Sports, and Media",1
45,29,"Farming, Fishing, and Forestry",Healthcare Practitioners and Technical,6
45,33,"Farming, Fishing, and Forestry",Protective Service,1
45,37,"Farming, Fishing, and Forestry",Building and Grounds Cleaning and Maintenance,5
45,39,"Farming, Fishing, and Forestry",Personal Care and Service,3
45,41,"Farming, Fishing, and Forestry",Sales and Related,3
45,43,"Farming, Fishing, and Forestry",Office and Administrative Support,6
45,45,"Farming, Fishing, and Forestry","Farming, Fishing, and Forestry",23
45,49,"Farming, Fishing, and Forestry","Installation, Maintenance, and Repair",1
45,51,"Farming, Fishing, and Forestry",Production,4
45,53,"Farming, Fishing, and Forestry",Transportation and Material Moving,1
47,11,Construction and Extraction,Management,117
47,13,Construction and Extraction,Business and Financial Operations,41
47,15,Construction and Extraction,Computer and Mathematical,33
47,17,Construction and Extraction,Architecture and Engineering,75
47,19,Construction and Extraction,"Life, Physical, and Social Science",23
47,21,Construction and Extraction,Community and Social Service,3
47,23,Construction and Extraction,Legal,7
47,25,Construction and Extraction,Educational Instruction and Library,8
47,27,Construction and Extraction,"Arts, Design, Entertainment, Sports, and Media",24
47,29,Construction and Extraction,Healthcare Practitioners and Technical,3
47,31,Construction and Extraction,Healthcare Support,1
47,33,Construction and Extraction,Protective Service,3
47,35,Construction and Extraction,Food Preparation and Serving Related,2
47,37,Construction and Extraction,Building and Grounds Cleaning and Maintenance,3
47,39,Construction and Extraction,Personal Care and Service,7
47,41,Construction and Extraction,Sales and Related,38
